"metric","lambda_d","lambda_u","method","mean","sd","mcse","q2.5","q97.5","n"
"rmse",0,0,"Fusion",0.678485266526543,0.0861884723199295,0.00272551880581354,0.525496874674717,0.873010612674352,1000
"rmse",0,0,"deepAFT-RCT-S",1.12982821924776,0.160677395044715,0.00508106536843953,0.967731377838385,1.30007229211793,1000
"rmse",0,0,"deepAFT-RCT-T",1.59317217265339,0.987214622407244,0.0312810923345918,1.00225410587627,3.09172336025968,996
"rmse",0,0,"deepAFT-Pooled-S",1.08617916391432,0.188397849389993,0.00595766310349743,0.916659896077349,1.28708635117042,1000
"rmse",0,0,"deepAFT-Pooled-T",1.62988565874503,1.87517542386737,0.0593874015314539,0.777059113000638,8.37376550092554,997
"rmse",0,1,"Fusion",0.677880157330851,0.0811803534003028,0.00256714818002352,0.538001588198524,0.852522476151596,1000
"rmse",0,1,"deepAFT-RCT-S",1.11535353251961,0.0863908316032496,0.00273191796822325,0.958645007851683,1.28074951514231,1000
"rmse",0,1,"deepAFT-RCT-T",1.47323644750357,0.556805125955602,0.0176253582885578,1.02264833635673,2.958319503941,998
"rmse",0,1,"deepAFT-Pooled-S",1.09922070336072,0.190470156864432,0.0060231952198116,0.927422792705393,1.29529136972834,1000
"rmse",0,1,"deepAFT-Pooled-T",1.36706158093795,1.12916993768547,0.0359418751208988,0.776001101811468,3.30950907130864,987
"rmse",0,2,"Fusion",0.683324693433615,0.083906075662531,0.0026533430862002,0.531001172696478,0.858545362570894,1000
"rmse",0,2,"deepAFT-RCT-S",1.11904656666397,0.0823958201879896,0.0026055846147173,0.965657990622066,1.27664657439862,1000
"rmse",0,2,"deepAFT-RCT-T",1.47105990575682,0.455259502992691,0.0143965695589315,1.00193279168964,2.95295403382788,1000
"rmse",0,2,"deepAFT-Pooled-S",1.16944355497713,0.230242426878513,0.00728090482940874,0.978996953269784,1.33839748419195,1000
"rmse",0,2,"deepAFT-Pooled-T",1.55002888141188,1.63270277128831,0.0516305949934004,0.788321031731301,3.42520622496969,1000
"rmse",1,0,"Fusion",0.675788256171059,0.083629292467843,0.00264459043306748,0.526934083974849,0.851923227316752,1000
"rmse",1,0,"deepAFT-RCT-S",1.12839436229548,0.132059304322759,0.00417817148704863,0.970098825835141,1.29807828940831,999
"rmse",1,0,"deepAFT-RCT-T",1.59527660171003,0.9619660964526,0.0305117118181312,1.00649559359499,3.0208447477831,994
"rmse",1,0,"deepAFT-Pooled-S",1.08594292116252,0.153947821764889,0.00487069353189415,0.914363403240282,1.31431563849221,999
"rmse",1,0,"deepAFT-Pooled-T",1.41683640209191,1.07970527491837,0.0343500007467566,0.814610378398152,3.26668161437229,988
"rmse",1,1,"Fusion",0.675856766855951,0.08646826861026,0.00273436674139664,0.520448486246104,0.864278764497577,1000
