"variant","method","lambda_d","lambda_u","rmse","bias","coverage","postvar"
"arch-tuned","deepAFT-Pooled-S",1,1,1.06268868478713,0.108156922894388,0.418660773480663,0.0588098505515254
"k=7 CV","deepAFT-Pooled-T",1,1,1.73002940927622,0.156445739802319,0.996678,6.10201633477568
"k=10 CV","deepAFT-Pooled-T",1,1,1.13225072521019,0.0987966450665665,0.991408,4.125317344432
"arch-tuned","deepAFT-Pooled-T",1,1,0.896779516388945,-0.0238830250019287,0.920975088967972,0.637442485649527
"k=7 CV","deepAFT-RCT-S",2,1,1.12639593180524,-0.163493646605392,0.420482,0.127042791656793
"k=10 CV","deepAFT-RCT-S",2,1,1.12594288458628,-0.197439349880166,0.364894,0.0669324078154571
"arch-tuned","deepAFT-RCT-S",2,1,1.15122584953946,-0.149428759369422,0.351813440320963,0.520568672512555
"k=7 CV","deepAFT-RCT-T",2,1,1.53605858009986,-0.254203370250583,0.987444,3.76064520143545
"k=10 CV","deepAFT-RCT-T",2,1,1.26190963475468,-0.24781714326917,0.921485485485485,1.21152958735871
"arch-tuned","deepAFT-RCT-T",2,1,1.42511181775803,-0.257860435133598,0.97965295887663,7245907.72749374
"k=7 CV","deepAFT-Pooled-S",2,1,1.11199386034649,0.0804929325278413,0.543102,0.212969564170563
"k=10 CV","deepAFT-Pooled-S",2,1,1.11522822860511,0.0952013286644801,0.446414,0.130034601115363
"arch-tuned","deepAFT-Pooled-S",2,1,1.08016622252288,0.0886145544452364,0.415729490022173,0.0645553974492131
"k=7 CV","deepAFT-Pooled-T",2,1,1.57866386837077,0.121414975915217,0.996856,7.36820113990636
"k=10 CV","deepAFT-Pooled-T",2,1,1.23060360582092,0.0548883153603631,0.991746,5.18497208393482
"arch-tuned","deepAFT-Pooled-T",2,1,0.997059297348403,-0.0552033581115364,0.919634864546525,0.785709813646664
"k=7 CV","deepAFT-RCT-S",0,2,1.11904656666397,-0.169512833087924,0.43397,0.108284295564316
"k=10 CV","deepAFT-RCT-S",0,2,1.11254052030597,-0.197419446403393,0.371833333333333,0.0654888157160154
"arch-tuned","deepAFT-RCT-S",0,2,1.14527459594531,-0.142377707204738,0.347072144288577,0.128943670440119
"k=7 CV","deepAFT-RCT-T",0,2,1.47105990575682,-0.264889912669124,0.987128,2.4858260835082
"k=10 CV","deepAFT-RCT-T",0,2,1.24777168647497,-0.250791749920355,0.9097,1.07964322767667
"arch-tuned","deepAFT-RCT-T",0,2,1.39091888766578,-0.279073536616038,0.978214428857715,6381679.88258712
"k=7 CV","deepAFT-Pooled-S",0,2,1.16944355497713,0.319166759318015,0.544708,0.233275845750703
"k=10 CV","deepAFT-Pooled-S",0,2,1.1635176635503,0.358414438222527,0.451568,0.146880741583573
"arch-tuned","deepAFT-Pooled-S",0,2,1.12774872651769,0.37632480646835,0.40548401323043,0.0636147833328556
"k=7 CV","deepAFT-Pooled-T",0,2,1.55002888141188,0.239841068784147,0.994524,5.32611523620653
